crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.6","request_id":"3494e0bf-a7ce-488c-af5a-474263715bca","http_version":"1.1","method":"GET","path":"/store/customers/me?fields=%2Aorders","status":400,"response_size":"164","request_size":0,"duration":3.315,"referrer":"-","user_agent":"node","timestamp":"2026-04-04T06:37:11.051Z"}
crm-backend  | {"level":"info","message":"Publishable API key required in the request header: x-publishable-api-key. You can manage your keys in settings in the dashboard.","timestamp":"2026-04-04 06:37:11"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.6","request_id":"da03121e-5d88-4465-b5d0-d6e9eb04743e","http_version":"1.1","method":"GET","path":"/store/collections?fields=id%2C%20handle%2C%20title&limit=100&offset=0","status":400,"response_size":"164","request_size":0,"duration":1.985,"referrer":"-","user_agent":"node","timestamp":"2026-04-04T06:37:11.074Z"}
crm-backend  | {"level":"info","message":"Publishable API key required in the request header: x-publishable-api-key. You can manage your keys in settings in the dashboard.","timestamp":"2026-04-04 06:37:11"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.6","request_id":"0d82cdd1-0d2b-47c0-b954-2dc0998e9717","http_version":"1.1","method":"GET","path":"/store/locales","status":400,"response_size":"164","request_size":0,"duration":2.632,"referrer":"-","user_agent":"node","timestamp":"2026-04-04T06:37:11.094Z"}
crm-backend  | {"level":"info","message":"Publishable API key required in the request header: x-publishable-api-key. You can manage your keys in settings in the dashboard.","timestamp":"2026-04-04 06:37:11"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.6","request_id":"709d6575-fc19-4817-9e24-de175fc128ef","http_version":"1.1","method":"GET","path":"/store/collections?fields=%2Aproducts&limit=100&offset=0","status":400,"response_size":"164","request_size":0,"duration":2.303,"referrer":"-","user_agent":"node","timestamp":"2026-04-04T06:37:11.114Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"71b7f109-63c3-4809-8356-ac91b132ec33","http_version":"1.1","method":"GET","path":"/app/login","status":304,"response_size":0,"request_size":0,"duration":5.275,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:37:47.224Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"a18ed23b-130c-475b-ace8-4589860017ad","http_version":"1.1","method":"GET","path":"/admin/feature-flags","status":304,"response_size":0,"request_size":0,"duration":4.031,"referrer":"http://localhost:9000/app/login","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:37:49.646Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"70a9c6ff-23fc-4eed-a731-fcbe0e9c4a84","http_version":"1.1","method":"GET","path":"/cloud/auth","status":304,"response_size":0,"request_size":0,"duration":3.723,"referrer":"http://localhost:9000/app/login","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:37:49.749Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"95aa576a-c0fc-4202-b290-b4cd4f3cee4f","http_version":"1.1","method":"POST","path":"/auth/user/emailpass","status":200,"response_size":"421","request_size":"59","duration":491.652,"referrer":"http://localhost:9000/app/login","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.380Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"a8a174da-cf83-4edf-a781-9ed88e3230d8","http_version":"1.1","method":"POST","path":"/auth/session","status":200,"response_size":"255","request_size":"0","duration":10.596,"referrer":"http://localhost:9000/app/login","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.435Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"5327ede0-298d-4142-abeb-015142017211","http_version":"1.1","method":"GET","path":"/app/assets/order-list-57XK2DRD-VtJZxPJu.js","status":200,"response_size":0,"request_size":0,"duration":78.134,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.553Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"22961beb-cf1f-4151-a89e-c24a60be7a2d","http_version":"1.1","method":"GET","path":"/app/assets/chunk-P3UUX2T6-r-9UadkH.js","status":200,"response_size":192,"request_size":0,"duration":12.749,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.574Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"2b392f26-4237-4aa8-8d6c-44dca4428cec","http_version":"1.1","method":"GET","path":"/app/assets/chunk-TOCMU7UV-3b3bGXBS.js","status":200,"response_size":0,"request_size":0,"duration":9.478,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.592Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"f9b2496e-84aa-4e9d-8bb7-4d0c0e614e1b","http_version":"1.1","method":"GET","path":"/app/assets/chunk-VT2JJ5C2-Czx45Iik.js","status":200,"response_size":686,"request_size":0,"duration":14.953,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.603Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"ba3696eb-6423-4a27-b2a1-cf6db7227538","http_version":"1.1","method":"GET","path":"/app/assets/chunk-DFFLVEZ5-YuU75WZJ.js","status":200,"response_size":450,"request_size":0,"duration":208.851,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.815Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"3d1cf993-62d8-45c9-8489-d12b08afbeae","http_version":"1.1","method":"GET","path":"/app/assets/chunk-WG7UTTKY-B8BUsxcb.js","status":200,"response_size":847,"request_size":0,"duration":283.116,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:09.916Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"a2cb6192-e33c-4c1f-b78e-c0258f9b90c9","http_version":"1.1","method":"GET","path":"/app/assets/chunk-NTEWUH4C-Zwbwn2Hl.js","status":200,"response_size":0,"request_size":0,"duration":251.917,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.309Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"a3eea331-36f4-4d2a-b697-4ca161375a10","http_version":"1.1","method":"GET","path":"/app/assets/chunk-ADOCJB6L-CBvvc2RV.js","status":200,"response_size":678,"request_size":0,"duration":380.411,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.315Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"cd0305c7-f4b5-4bc8-934c-30c3b4f7311c","http_version":"1.1","method":"GET","path":"/app/assets/chunk-INE2QCSC-CvQTWm1Z.js","status":200,"response_size":506,"request_size":0,"duration":326.479,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.318Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"ab92004a-ee61-4e5f-b801-2c5a4a0c807e","http_version":"1.1","method":"GET","path":"/app/assets/chunk-DK4WIVY6-CYCbBMOO.js","status":200,"response_size":0,"request_size":0,"duration":349.064,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.336Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"bf703710-a4e5-4865-962f-4db8cb1ce0ab","http_version":"1.1","method":"GET","path":"/app/assets/chunk-X6BAAGCL-Cmzs-01s.js","status":200,"response_size":654,"request_size":0,"duration":247.125,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.349Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"7b9605b3-ed0e-45f4-b755-4ed6d8167771","http_version":"1.1","method":"GET","path":"/app/assets/react-country-flag.esm-6qOLUnqB.js","status":200,"response_size":0,"request_size":0,"duration":279.082,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.588Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"ffa5f9eb-45e8-41a6-bf95-792e3fc57a23","http_version":"1.1","method":"GET","path":"/app/assets/chunk-JUZ754L2-BMVHSM9X.js","status":200,"response_size":688,"request_size":0,"duration":215.76,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.605Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"2aa037a0-b17a-43f9-aff3-b86de77c3deb","http_version":"1.1","method":"GET","path":"/app/assets/chunk-IQBAUTU5-m9a_7Tjy.js","status":200,"response_size":502,"request_size":0,"duration":122.197,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.610Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"94cf012c-2edb-4242-a290-da08ca6a5ff5","http_version":"1.1","method":"GET","path":"/app/assets/chunk-XLDQPLK4-NnCzh3J2.js","status":200,"response_size":0,"request_size":0,"duration":159.295,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.641Z"}
